rank,model,version,sources,num_tracks,si_sdr_mean,si_sdr_median,si_sdr_std,si_sar_mean,si_sar_median,si_sar_std,si_sdr_i_mean,si_sdr_i_median,si_sdr_i_std,mix_si_sdr_mean_from_tracks,baseline_mixture_si_sdr,baseline_mixture_si_sar,beats_mixture_baseline,beats_mixture_baseline_by_sisdri,checkpoint,_summary_path
1,deep_feature_emd,estándar,4,20,-5.375042162369937,-5.2603978384286165,0.43962629904666606,17.562499210238457,17.4398435652256,0.9145151751908184,0.005542985629290342,0.004133908078074455,0.05883058992578744,-5.380585147999227,-5.393059898167849,21.395664662122726,True,True,checkpoints\Mis_modelos_v2\experimental\deep_feature_emd checkpoints\4stems\best_checkpoint_3_val_loss=-0.0000.pt,resultados_modelos\evaluate_v2\experimental\deep_feature_emd\4stems\summary.json
2,deep_feature,estándar,4,20,-5.398753986228257,-5.319615704938769,0.41267340449486134,16.5323329269886,16.403722763061523,1.0479933578171676,-0.01816883822903037,-0.019653774797916412,0.05480580839246498,-5.380585147999227,-5.393059898167849,21.395664662122726,False,False,checkpoints\Mis_modelos_v2\experimental\deep_feature checkpoints\4stems\best_checkpoint_1_val_loss=-0.0000.pt,resultados_modelos\evaluate_v2\experimental\deep_feature\4stems\summary.json
3,l2,estándar,4,20,-5.445174518506974,-5.405338387936354,0.4278125125796271,20.263320580124855,19.656957983970642,2.098211185525593,-0.06458937050774693,-0.0655814353376627,0.03754028905746695,-5.380585147999227,-5.393059898167849,21.395664662122726,False,False,checkpoints\Mis_modelos_v2\main\l2 checkpoints\4stems\best_checkpoint_4_val_loss=-0.0000.pt,resultados_modelos\evaluate_v2\main\l2\4stems\summary.json
4,l2_freq,estándar,4,20,-5.449348804540932,-5.396244637668133,0.42450603990700925,20.436935856938362,19.86774191260338,2.0900258259080533,-0.06876365654170513,-0.07038131356239319,0.03737122059708752,-5.380585147999227,-5.393059898167849,21.395664662122726,False,False,checkpoints\Mis_modelos_v2\main\l2_freq checkpoints\4stems\best_checkpoint_4_val_loss=-0.0000.pt,resultados_modelos\evaluate_v2\main\l2_freq\4stems\summary.json
5,lpsa_phase,v2,4,20,-6.422795251244679,-6.490610355976969,0.862422091368081,,,,,,,,-4.555995227769017,,False,,checkpoints\Mis_modelos\lpsa_phase checkpoints\4stems\best_checkpoint_99_val_loss=-0.0000.pt,resultados_modelos\evaluate_v2\advanced\lpsa_phase\4stems\summary.json
6,l1,estándar,4,20,-10.191306213848293,-10.448758155107498,1.7268685848320322,-1.932935026823543,-1.8795228702947497,1.1927450435288045,-4.810721065849066,-5.085030440241098,1.6499610491022911,-5.380585147999227,-5.393059898167849,21.395664662122726,False,False,checkpoints\Mis_modelos_v2\main\l1 checkpoints\4stems\best_checkpoint_24_val_loss=-0.0006.pt,resultados_modelos\evaluate_v2\main\l1\4stems\summary.json
7,l1_freq,estándar,4,20,-10.19446745235473,-10.451591052114964,1.7274470769715318,-1.939976178924553,-1.8865152075886726,1.1937348052586128,-4.813882304355502,-5.0893172062933445,1.6505146206978576,-5.380585147999227,-5.393059898167849,21.395664662122726,False,False,checkpoints\Mis_modelos_v2\main\l1_freq checkpoints\4stems\best_checkpoint_24_val_loss=-0.0006.pt,resultados_modelos\evaluate_v2\main\l1_freq\4stems\summary.json
8,logl2,estándar,4,20,-10.611214044503868,-10.65115861594677,1.8795184839582335,-2.7597804388497025,-2.774544106796384,1.3321522858288037,-5.230628896504641,-5.183218698948622,1.8495887031531382,-5.380585147999227,-5.393059898167849,21.395664662122726,False,False,checkpoints\Mis_modelos_v2\main\logl2 checkpoints\4stems\best_checkpoint_4_val_loss=-3.7077.pt,resultados_modelos\evaluate_v2\main\logl2\4stems\summary.json
9,mask_l1,estándar,4,20,-11.804972895421088,-11.593904867768288,2.075728882518985,-4.4692644191673025,-4.285313673317432,1.597827236618466,-6.424387747421861,-6.2966190138831735,2.025288610698917,-5.380585147999227,-5.393059898167849,21.395664662122726,False,False,checkpoints\Mis_modelos_v2\main\mask_l1 checkpoints\4stems\best_checkpoint_33_val_loss=-0.1991.pt,resultados_modelos\evaluate_v2\main\mask_l1\4stems\summary.json
10,log_mag,estándar,4,20,-12.147086828015745,-11.92156090401113,2.2019544036639096,-4.835475985833909,-4.70891997218132,1.6936537927857054,-6.766501680016518,-6.589035354554653,2.151243706398331,-5.380585147999227,-5.393059898167849,21.395664662122726,False,False,checkpoints\Mis_modelos_v2\main\log_mag checkpoints\4stems\best_checkpoint_61_val_loss=-0.4377.pt,resultados_modelos\evaluate_v2\main\log_mag\4stems\summary.json
11,log_compressed_l2,estándar,4,20,-12.18117737211287,-12.029513865709305,2.003976876072466,-5.554512349888682,-5.534450807608664,1.6595767840124198,-6.800592224113643,-6.708062216639519,1.946451418863413,-5.380585147999227,-5.393059898167849,21.395664662122726,False,False,checkpoints\Mis_modelos_v2\main\log_compressed_l2 checkpoints\4stems\best_checkpoint_65_val_loss=-1.9290.pt,resultados_modelos\evaluate_v2\main\log_compressed_l2\4stems\summary.json
12,logl1,estándar,4,20,-14.736973315477371,-14.47476975619793,2.562403140888172,-8.802950027398765,-8.826738279312849,2.1017343019808155,-9.356388167478144,-9.176363525912166,2.5872847540685937,-5.380585147999227,-5.393059898167849,21.395664662122726,False,False,checkpoints\Mis_modelos_v2\main\logl1 checkpoints\4stems\best_checkpoint_65_val_loss=-22.0469.pt,resultados_modelos\evaluate_v2\main\logl1\4stems\summary.json
